,,,,,Working-age population (thousands),,,,,,,
Afghanistan,LFS - Labour Force Survey,Female,Rural,2020,5759.9,33.8,3048.4,34.6,479.3,43.8,2120,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Female,Urban,2020,2220,10.9,1047.7,16.2,139.1,16.9,989.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Female,Not elsewhere classified,2020,328.7,3.3,194.7,,31.8,2.2,95.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Total,National,2021,16372.1,4002.4,11044.8,568.5,664.1,91.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Total,Rural,2021,11785.3,2545.8,8257.7,446.1,457.6,77.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Total,Urban,2021,4586.9,1456.6,2787,122.4,206.5,14.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Male,National,2021,8063.7,2226.5,5437.8,280.7,98.5,19.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Male,Rural,2021,5827.3,1459.5,4059,212.5,76.6,18.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Male,Urban,2021,2236.4,767,1378.8,68.2,21.9,,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Female,National,2021,8308.5,1775.9,5607,287.8,565.6,72.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Female,Rural,2021,5958,1086.3,4198.7,233.6,381,58.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Female,Urban,2021,2350.5,689.6,1408.3,54.2,184.6,13.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Albania,HIES - Living Standards Measurement Survey,Total,National,2012,2311.7,630.5,1507.1,6.8,144.9,22.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Total,Rural,2012,1002.5,270.7,661,3.1,60.5,7.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Total,Urban,2012,1309.2,359.8,846.1,3.6,84.4,15.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Male,National,2012,1142.1,362.4,747.2,3.5,21.6,7.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Male,Rural,2012,499.3,159.2,325.5,1.8,9.6,3.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Male,Urban,2012,642.9,203.2,421.7,1.7,12,4.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Female,National,2012,1169.5,268,759.9,3.2,123.3,15,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Female,Rural,2012,503.2,111.4,335.5,1.3,51,4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,HIES - Living Standards Measurement Survey,Female,Urban,2012,666.3,156.6,424.4,1.9,72.4,11,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Total,National,2014,13437.7,5107.4,2109.8,5000.7,510.6,420.7,288.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Total,Rural,2014,4837.4,1472.4,807.7,2026.6,249.2,175.3,106.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Total,Urban,2014,8600.3,3634.9,1302.1,2974.2,261.4,245.4,182.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Male,National,2014,6381.3,2617.8,1047.4,2416.4,58.1,89.7,151.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Male,Rural,2014,2239.7,756.1,396.7,962.6,28.8,36.2,59.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Male,Urban,2014,4141.5,1861.7,650.7,1453.8,29.3,53.5,92.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Female,National,2014,7056.4,2489.6,1062.4,2584.3,452.5,331,136.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Female,Rural,2014,2597.6,716.4,411,1063.9,220.4,139.1,46.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,PC - Recensements de Population,Female,Urban,2014,4458.8,1773.2,651.4,1520.4,232.2,191.9,89.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Total,National,2019,16303.7,5370.7,713.6,7763.5,897.4,1558.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Total,Rural,2019,6541.2,1673.9,211.3,3690.6,431,534.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Total,Urban,2019,9762.5,3696.8,502.3,4072.9,466.4,1023.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Male,National,2019,7797.9,3055.6,357.8,3895.8,102.2,386,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Male,Rural,2019,3087.9,984.2,104.2,1837.9,47.8,113.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Male,Urban,2019,4710.1,2071.4,253.7,2057.9,54.4,272.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Female,National,2019,8505.7,2315.1,355.7,3867.6,795.2,1172.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Female,Rural,2019,3453.3,689.7,107.1,1852.6,383.2,420.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Female,Urban,2019,5052.4,1625.4,248.6,2015,411.9,751.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Angola,LFS - Employment Survey,Total,National,2021,17274.5,6050.2,507.2,8096.3,982.2,1638.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Total,Rural,2021,6956.5,2013.1,137.7,3746.5,487,572.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Total,Urban,2021,10318,4037.1,369.5,4349.8,495.2,1066.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Male,National,2021,8279.7,3393.9,261.4,4121.2,117.8,385.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Male,Rural,2021,3340.6,1200.7,69.4,1893.6,58.7,118.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Male,Urban,2021,4939.1,2193.2,191.9,2227.6,59.1,267.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Female,National,2021,8994.9,2656.3,245.8,3975.1,864.4,1253.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Female,Rural,2021,3615.9,812.4,68.2,1852.9,428.4,454,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Angola,LFS - Employment Survey,Female,Urban,2021,5379,1843.9,177.6,2122.2,436.1,799.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Armenia,LFS - Household Labour Force Survey,Total,National,2014,2180.2,564.5,1370.7,,175.4,69.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2014,790.4,211.9,505.1,,58.7,14.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2014,1389.8,352.5,865.6,,116.7,55,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,National,2014,956.7,293.8,627.4,,21.3,14.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2014,359.6,118.1,228.4,,8.3,4.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2014,597.2,175.7,399,,13,9.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,National,2014,1223.4,270.7,743.3,,154.1,55.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2014,430.8,93.8,276.8,,50.4,9.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,Urban,2014,792.6,176.9,466.5,,103.7,45.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,National,2015,2106.6,544.1,1344.3,,155.6,62.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2015,793.2,203.5,529,,49.3,11.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2015,1313.4,340.6,815.3,,106.3,51.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,National,2015,940.2,289.4,620.4,,17.3,13.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2015,368.9,118.9,240.6,,5.7,3.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2015,571.2,170.5,379.7,,11.6,9.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,National,2015,1166.5,254.7,723.9,,138.3,49.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2015,424.3,84.6,288.4,,43.6,7.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Urban,2015,742.2,170.1,435.5,,94.7,41.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,National,2016,2011.4,504.5,1297.1,,147.5,62.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2016,754.6,186.4,505.8,,47.2,15.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2016,1256.8,318.1,791.3,,100.3,47.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,National,2016,905.2,282.2,593.9,,15.4,13.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2016,353.2,110.4,229.9,,7.1,5.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2016,552,171.7,364,,8.3,8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,National,2016,1106.2,222.3,703.2,,132.1,48.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2016,401.4,76,275.9,,40.1,9.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Urban,2016,704.8,146.3,427.4,,92,39.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,National,2017,2021.3,495.5,1310.4,,144.9,70.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2017,771.6,194.7,515.8,,46.3,14.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2017,1249.7,300.8,794.6,,98.6,55.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,National,2017,914.5,275.8,609.1,,13.1,16.5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2017,365.8,119.2,237,,4.7,4.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2017,548.7,156.6,372.2,,8.4,11.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,National,2017,1106.8,219.8,701.3,,131.8,54,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2017,405.8,75.5,278.8,,41.6,9.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Urban,2017,701,144.3,422.4,,90.2,44.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,National,2018,2206.1,544.1,1435.3,,162.7,64,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2018,940.4,223.9,647.9,,56.7,12,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2018,1265.7,320.3,787.4,,106,52,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,National,2018,1027.2,298,699,,17.1,13.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2018,470.6,140.1,319.8,,6.8,3.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2018,556.6,157.9,379.3,,10.3,9.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,National,2018,1178.9,246.1,736.2,,145.6,50.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2018,469.8,83.7,328.1,,49.9,8.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Female,Urban,2018,709.1,162.4,408.1,,95.7,42.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
Armenia,LFS - Household Labour Force Survey,Total,National,2019,2204.4,541.2,1430.3,,154,78.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Rural,2019,844.8,198,583.6,,49.1,14.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Total,Urban,2019,1359.6,343.2,846.7,,104.9,64.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,National,2019,1024.6,305.1,691.7,,14,13.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Rural,2019,419.3,124,285.1,,6.5,3.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Male,Urban,2019,605.3,181.1,406.6,,7.5,10.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,National,2019,1179.8,236.1,738.6,,140.1,64.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
Armenia,LFS - Household Labour Force Survey,Female,Rural,2019,425.5,74,298.5,,42.6,10.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
